"Parameter","Estimate","Std_Error","t_value","p_value","CI_95_Low","CI_95_High","Bootstrap_CI_95_Low","Bootstrap_CI_95_High"
"a0",176.32782,7.57736,23.27,0,161.47619,191.17946,164.35959,197.73754
"a1",-3.69099,1.12541,-3.28,0.0011,-5.8968,-1.48518,-7.13281,-1.83516
"b0",0.41852,0.0532,7.867,0,0.31425,0.52279,0.29662,0.48434
"b1",-0.02522,0.01602,-1.575,0.1156,-0.05662,0.00617,-0.04209,0.00964
"c0 (log-scale)",-2.95111,0.32907,-8.968,0,-3.59609,-2.30613,-3.63675,-2.59171
"c1 (log-scale)",0.39136,0.10294,3.802,2e-04,0.1896,0.59313,0.28134,0.6608
