"Parameter","Estimate","Std_Error","t_value","p_value","CI_95_Low","CI_95_High"
"a0",185.12078,9.42432,19.643,0,166.64911,203.59245
"a1",-4.61606,1.20447,-3.832,1e-04,-6.97683,-2.2553
"b0",0.46845,0.0508,9.222,0,0.36889,0.56802
"b1",-0.03832,0.01392,-2.752,0.006,-0.06562,-0.01103
"c0 (log-scale)",-2.78599,0.30454,-9.148,0,-3.38288,-2.1891
"c1 (log-scale)",0.26651,0.0995,2.678,0.0075,0.07149,0.46154
